last_contact_month_n,duration,previous,resultado_anterior_n,emp.var.rate,euribor3m,nr.employed,y_n
0.2222222222222222,0.05815372102480683,0.0,0.0,1.0,0.9805032872364543,1.0,0.0
0.1111111111111111,0.036193574623830826,0.0,0.0,1.0,0.9589662208116074,1.0,0.0
0.3333333333333333,0.020943472956486377,0.0,0.0,1.0,0.9814101110859217,1.0,0.0
0.0,0.027450183001220006,0.0,0.0,0.9375,0.9580593969621403,0.8597353497164448,0.0
0.0,0.08499389995933306,0.0,0.0,0.33333333333333337,0.14894581727499434,0.512287334593573,0.0
0.0,0.04290361935746238,0.0,0.0,0.33333333333333337,0.1632282929041034,0.512287334593573,0.0
0.0,0.12118747458316388,0.0,0.0,0.9375,0.9573792790750397,0.8597353497164448,0.0
0.0,0.07401382675884506,0.0,0.0,0.9375,0.9573792790750397,0.8597353497164448,0.0
0.2222222222222222,0.03578690524603497,0.0,0.0,1.0,0.9811834051235548,1.0,0.0
0.7777777777777777,0.0892639284261895,0.0,0.0,0.33333333333333337,0.2049421899795965,0.512287334593573,0.0
0.3333333333333333,0.033753558357055714,0.0,0.0,1.0,0.9814101110859217,1.0,0.0
0.1111111111111111,0.08316388775925172,0.0,0.0,1.0,0.9589662208116074,1.0,0.0
0.0,0.0359902399349329,0.0,0.0,0.9375,0.9578326909997734,0.8597353497164448,0.0
0.3333333333333333,0.05673037820252135,0.2857142857142857,1.0,0.3541666666666667,0.060077080027204716,0.10586011342154933,1.0
0.8888888888888888,0.022570150467669785,0.0,0.0,0.33333333333333337,0.17479029698481074,0.512287334593573,0.0
0.7777777777777777,0.0876372509150061,0.14285714285714285,0.5,0.33333333333333337,0.00453411924733621,0.17051039697542336,0.0
0.4444444444444444,0.05490036600244001,0.14285714285714285,1.0,0.0,0.021763772387213776,0.20378071833648193,1.0
0.2222222222222222,0.014640097600650671,0.0,0.0,1.0,0.9811834051235548,1.0,0.0
0.2222222222222222,0.016876779178527857,0.0,0.0,1.0,0.9825436408977557,1.0,0.0
0.0,0.036600244001626675,0.0,0.0,0.9375,0.9571525731126729,0.8597353497164448,0.0
0.0,0.025010166734444898,0.0,0.0,0.33333333333333337,0.14418499206529134,0.512287334593573,0.0
0.1111111111111111,0.009963399755998373,0.0,0.0,1.0,0.9594196327363409,1.0,0.0
0.2222222222222222,0.02480683204554697,0.0,0.0,1.0,0.9809566991611882,1.0,0.0
0.2222222222222222,0.03090687271248475,0.0,0.0,1.0,0.9809566991611882,1.0,0.0
0.3333333333333333,0.044733631557543715,0.0,0.0,1.0,0.9814101110859217,1.0,0.0
0.5555555555555556,0.0571370475803172,0.0,0.0,0.4791666666666667,0.08932214917252326,0.0,1.0
0.0,0.05571370475803172,0.0,0.0,0.9375,0.9573792790750397,0.8597353497164448,0.0
0.0,0.036600244001626675,0.0,0.0,0.33333333333333337,0.15393334844706413,0.512287334593573,0.0
0.3333333333333333,0.03761691744611631,0.0,0.0,0.10416666666666674,0.05667649059170257,0.4257088846880883,1.0
0.3333333333333333,0.033143554290361935,0.0,0.0,0.10416666666666674,0.05644978462933575,0.4257088846880883,0.0
0.5555555555555556,0.08865392435949573,0.0,0.0,0.6875,0.7902969848107007,0.8778827977315693,0.0
0.8888888888888888,0.1024806832045547,0.0,0.0,0.33333333333333337,0.16572205849013832,0.512287334593573,1.0
0.7777777777777777,0.019520130134200894,0.0,0.0,0.33333333333333337,0.23328043527544778,0.512287334593573,0.0
0.2222222222222222,0.11366409109394063,0.0,0.0,1.0,0.9807299931988211,1.0,0.0
